iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
TCD,CHAD,8.14,-20.8363555669784,-19.2226420640946,-19.9260543584824,-16.0909991264343,20.0,0.845197985403876,23.6513333879631,966.036468278568,6.873201585341103
MMR,MYANMAR,8.13,-16.1220428943634,-21.3965269327164,-23.5834586620331,-17.2911767959595,20.0,12.0471750945074,47.7910290706127,1158.05005055976,7.054492878753113
COD,THE DEMOCRATIC REPUBLIC OF THE CONGO,8.1,-21.6257728338242,-23.4095286130905,-24.4481638669967,-20.6649723052979,20.0,12.0471750945074,27.4411307638978,687.738587554685,6.533408805780686
COG,REPUBLIC OF CONGO,7.91,-19.0346179008484,-15.259084224701,-19.1759395599365,-17.6600387096405,22.0,2.81399044201204,47.1421557656699,2620.83804267402,7.871249409225721
MOZ,MOZAMBIQUE,7.88,-11.7049971222878,-14.3231632709503,-10.1592328548431,-10.167058467865,25.0,3.60886323922757,49.4927479032385,578.251663751351,6.360009178325483
GAB,GABON,7.73,-14.6375321149826,-11.6503542661667,-9.8807852268219,-9.83160102367401,28.0,12.0471750945074,66.0899712589808,8409.2074145028,9.0370825053038
GNB,GUINEA-BISSAU,7.69,-16.59594643116,-20.3577356338501,-20.8116320371628,-18.5008456707001,22.0,3.33083520692814,69.1155037619615,883.199131457831,6.783550692118624
VEN,VENEZUELA,7.63,-23.1186265945435,-30.7676401138305,-23.640629529953,-28.6418070793152,13.0,12.0471750945074,84.3948009275794,3155.04207099687,8.05675710959223
LAO,LAOS,7.44,-13.5209085941315,-11.2661590576172,-8.34576135873795,-13.819995880127,28.0,3.06518077635758,37.3200289962313,2046.40440255621,7.623839582188668
MDG,MADAGASCAR,7.43,-13.8499544262886,-13.2466391324997,-13.71832883358,-11.4169977903366,25.0,2.88211368009669,26.2978246175134,503.51453347296,6.221612576633713
DZA,ALGERIA,7.22,-8.93179655075073,-11.6601287722588,-7.18612825870514,-14.8900253772736,36.0,5.28843669990119,44.0970221449773,4960.30334332888,8.509222175778113
LBR,LIBERIA,7.17,-12.9638439416885,-12.8181989192963,-20.0853345394134,-13.7324062585831,25.0,3.04384950573908,51.6311457560752,744.617175237387,6.612870227567148
